date,city,last_available_confirmed,Gini_Index_2010,access_to_water_and_basic_sanitatio_per_cent,MHDI_income,MHDI_education,aging_rate,extremely_poor_per_cent
2020-05-19,Lagoa Salgada,2,0.54,17.35,0.551,0.46399999999999997,8.2,25.72
2020-05-19,Lajes,1,0.49,21.29,0.578,0.557,9.85,14.48
2020-05-19,Lajes Pintadas,5,0.45,32.8,0.5589999999999999,0.568,10.02,16.75
2020-05-19,Luís Gomes,1,0.55,16.39,0.545,0.531,9.2,26.91
2020-05-19,Macaíba,58,0.5,15.19,0.613,0.545,6.76,8.6
2020-05-19,Macau,17,0.5,6.11,0.65,0.5720000000000001,7.86,7.58
2020-05-19,Martins,2,0.49,21.06,0.58,0.5379999999999999,11.02,19.29
2020-05-19,Maxaranguape,3,0.52,7.09,0.5820000000000001,0.506,6.18,13.59
2020-05-19,Montanhas,5,0.53,12.67,0.5529999999999999,0.447,9.73,26.0
2020-05-19,Monte Alegre,12,0.52,9.08,0.578,0.507,8.03,15.17
2020-05-19,Mossoró,665,0.52,4.16,0.6940000000000001,0.6629999999999999,6.33,3.72
2020-05-19,Natal,1583,0.61,0.98,0.768,0.6940000000000001,7.02,2.92
2020-05-19,Nísia Floresta,13,0.53,8.47,0.601,0.518,6.21,14.57
2020-05-19,Nova Cruz,9,0.52,20.42,0.589,0.537,8.82,18.69
2020-05-19,Ouro Branco,1,0.43,4.2,0.61,0.5579999999999999,11.79,6.7
2020-05-19,Paraná,1,0.49,6.03,0.532,0.496,10.22,26.74
2020-05-19,Paraú,2,0.46,25.31,0.5820000000000001,0.522,10.6,13.79
2020-05-19,Parazinho,1,0.52,36.06,0.5429999999999999,0.424,8.19,23.2
2020-05-19,Parelhas,4,0.45,4.15,0.625,0.617,9.65,5.72
2020-05-19,Parnamirim,293,0.55,0.73,0.75,0.726,4.67,2.68
2020-05-19,Passa E Fica,1,0.51,15.25,0.565,0.516,9.68,19.59
2020-05-19,Patu,1,0.52,25.02,0.599,0.513,9.57,14.62
2020-05-19,Pau Dos Ferros,19,0.54,1.65,0.6659999999999999,0.584,8.49,6.13
2020-05-19,Pedra Grande,2,0.48,45.08,0.526,0.43,6.59,24.72
2020-05-19,Pedro Avelino,1,0.52,25.25,0.5770000000000001,0.435,10.29,17.93
2020-05-19,Pedro Velho,2,0.51,14.72,0.562,0.442,9.08,19.74
2020-05-19,Pendências,10,0.55,3.17,0.633,0.526,8.22,10.67
2020-05-19,Pilões,2,0.47,4.27,0.5660000000000001,0.527,9.7,18.18
2020-05-19,Poço Branco,2,0.56,21.7,0.562,0.47100000000000003,7.38,24.91
2020-05-19,Portalegre,2,0.52,35.11,0.581,0.547,10.64,21.33
2020-05-19,Porto Do Mangue,2,0.55,40.29,0.5579999999999999,0.504,5.87,24.12
2020-05-19,Riacho Da Cruz,3,0.47,14.16,0.545,0.48700000000000004,9.61,19.81
2020-05-19,Riachuelo,3,0.54,12.72,0.561,0.48100000000000004,8.45,21.63
2020-05-19,Rio Do Fogo,6,0.52,4.34,0.546,0.457,6.31,23.47
2020-05-19,Rodolfo Fernandes,1,0.46,9.02,0.561,0.519,9.03,16.45
2020-05-19,Santa Cruz,22,0.52,9.9,0.597,0.564,8.27,15.6
2020-05-19,Santa Maria,2,0.45,38.57,0.5539999999999999,0.47700000000000004,8.19,15.45
2020-05-19,Santana Do Matos,6,0.55,17.29,0.5589999999999999,0.48200000000000004,10.62,27.13
2020-05-19,Santo Antônio,17,0.57,20.88,0.595,0.512,8.98,20.39
2020-05-19,São Fernando,1,0.44,15.6,0.591,0.508,9.35,11.41
2020-05-19,São Gonçalo Do Amarante,102,0.44,5.01,0.619,0.564,5.28,6.05
2020-05-19,São José De Mipibu,36,0.55,15.34,0.599,0.508,7.23,17.32
2020-05-19,São Miguel,17,0.53,18.57,0.574,0.518,9.32,19.87
2020-05-19,São Miguel Do Gostoso,1,0.51,24.42,0.5579999999999999,0.46799999999999997,6.76,21.71
2020-05-19,São Paulo Do Potengi,3,0.48,16.61,0.584,0.555,9.52,15.32
2020-05-19,São Pedro,2,0.52,37.17,0.574,0.449,10.25,18.48
2020-05-19,São Rafael,9,0.52,10.82,0.588,0.493,11.75,17.98
2020-05-19,São Tomé,9,0.49,34.01,0.565,0.461,11.67,20.2
2020-05-19,São Vicente,1,0.52,6.27,0.606,0.556,10.45,14.02
2020-05-19,Senador Elói De Souza,1,0.5,20.16,0.523,0.504,8.73,27.17
2020-05-19,Senador Georgino Avelino,3,0.43,17.97,0.5429999999999999,0.455,6.4,11.63
2020-05-19,Serra De São Bento,1,0.53,32.29,0.551,0.48200000000000004,9.89,26.18
2020-05-19,Serra Do Mel,1,0.5,44.92,0.574,0.521,6.79,16.04
2020-05-19,Serra Negra Do Norte,3,0.42,8.31,0.578,0.46799999999999997,8.83,10.43
2020-05-19,Severiano Melo,1,0.52,17.21,0.579,0.522,9.04,21.0
2020-05-19,Taboleiro Grande,5,0.48,31.48,0.57,0.507,7.42,15.6
2020-05-19,Taipu,2,0.45,32.17,0.544,0.435,7.65,16.2
2020-05-19,Tenente Ananias,9,0.46,12.6,0.57,0.46799999999999997,9.43,16.07
2020-05-19,Tenente Laurentino Cruz,1,0.47,17.9,0.5589999999999999,0.586,6.68,17.34
2020-05-19,Tibau,12,0.55,13.02,0.627,0.53,6.67,10.19
2020-05-19,Tibau Do Sul,3,0.6,6.58,0.672,0.504,6.1,5.76
2020-05-19,Touros,14,0.52,20.05,0.562,0.466,6.84,21.48
2020-05-19,Umarizal,2,0.51,16.57,0.59,0.506,9.85,16.21
2020-05-19,Upanema,2,0.54,26.63,0.542,0.516,7.89,31.82
2020-05-19,Várzea,1,0.48,9.25,0.5770000000000001,0.552,11.12,12.47
2020-05-18,Acari,1,0.49,2.06,0.633,0.634,9.88,5.18
2020-05-18,Açu,80,0.53,10.49,0.6409999999999999,0.568,6.99,7.68
2020-05-18,Afonso Bezerra,5,0.53,18.03,0.56,0.502,9.22,21.79
2020-05-18,Alexandria,5,0.53,10.68,0.581,0.491,11.07,21.46
2020-05-18,Almino Afonso,1,0.49,20.07,0.578,0.568,9.22,17.02
2020-05-18,Alto Do Rodrigues,16,0.47,3.79,0.647,0.585,6.32,7.74
2020-05-18,Angicos,2,0.51,10.91,0.606,0.53,9.66,11.04
2020-05-18,Antônio Martins,1,0.51,21.88,0.5539999999999999,0.45799999999999996,9.67,25.46
2020-05-18,Apodi,119,0.55,10.18,0.611,0.5710000000000001,8.1,13.98
2020-05-18,Areia Branca,85,0.48,7.72,0.647,0.621,7.94,6.17
2020-05-18,Arês,3,0.53,9.2,0.5870000000000001,0.523,7.13,16.86
2020-05-18,Baía Formosa,3,0.47,2.47,0.59,0.534,6.12,11.09
2020-05-18,Baraúna,47,0.42,20.92,0.562,0.446,5.52,12.08
2020-05-18,Barcelona,1,0.5,19.66,0.564,0.442,11.87,20.03
2020-05-18,Bento Fernandes,2,0.47,30.26,0.542,0.494,7.9,22.61
2020-05-18,Bom Jesus,3,0.54,16.68,0.583,0.46,9.3,20.26
2020-05-18,Brejinho,2,0.49,9.32,0.585,0.49200000000000005,8.46,11.95
2020-05-18,Caiçara Do Norte,2,0.53,9.86,0.5720000000000001,0.45399999999999996,7.23,22.32
2020-05-18,Caiçara Do Rio Do Vento,1,0.49,12.41,0.5529999999999999,0.499,8.95,23.06
2020-05-18,Caicó,14,0.56,1.75,0.703,0.619,8.82,3.69
2020-05-18,Campo Redondo,3,0.56,35.01,0.5539999999999999,0.584,11.02,28.19
2020-05-18,Canguaretama,39,0.49,17.39,0.557,0.486,6.21,18.11
2020-05-18,Caraúbas,5,0.54,23.35,0.594,0.556,9.89,20.91
2020-05-18,Carnaúba Dos Dantas,1,0.41,10.97,0.624,0.5770000000000001,8.71,4.55
2020-05-18,Carnaubais,2,0.52,28.7,0.583,0.47600000000000003,7.64,16.41
2020-05-18,Ceará Mirim,31,0.51,9.69,0.599,0.505,6.96,12.12
2020-05-18,Cerro Corá,1,0.54,31.01,0.573,0.518,9.89,25.88
2020-05-18,Coronel João Pessoa,2,0.5,8.18,0.5489999999999999,0.47100000000000003,9.24,23.05
2020-05-18,Currais Novos,13,0.58,5.49,0.6729999999999999,0.617,9.59,7.7
2020-05-18,Encanto,12,0.47,23.8,0.589,0.536,9.83,13.74
2020-05-18,Espírito Santo,1,0.54,15.88,0.5489999999999999,0.423,9.14,24.76
2020-05-18,Extremoz,51,0.54,7.35,0.64,0.555,6.32,9.19
2020-05-18,Felipe Guerra,24,0.48,23.18,0.5820000000000001,0.575,9.75,15.92
2020-05-18,Fernando Pedroza,1,0.55,19.44,0.565,0.519,10.2,25.87
2020-05-18,Florânia,1,0.49,13.0,0.611,0.56,10.24,14.24
2020-05-18,Frutuoso Gomes,2,0.47,9.95,0.565,0.512,10.3,18.06
2020-05-18,Galinhos,1,0.57,29.51,0.578,0.429,5.93,21.02
2020-05-18,Goianinha,8,0.55,4.18,0.619,0.537,6.11,14.03
2020-05-18,Governador Dix Sept Rosado,5,0.49,22.37,0.564,0.485,8.19,22.19
2020-05-18,Grossos,5,0.49,11.59,0.633,0.585,7.58,8.2
2020-05-18,Guamaré,17,0.51,32.09,0.632,0.505,5.38,8.72
2020-05-18,Ielmo Marinho,7,0.51,42.52,0.521,0.418,7.37,26.37
2020-05-18,Ipanguaçu,19,0.48,8.4,0.568,0.518,6.5,15.18
2020-05-18,Itajá,4,0.42,4.32,0.586,0.539,5.35,8.5
2020-05-18,Itaú,12,0.48,11.02,0.588,0.542,8.95,13.71
2020-05-18,Jaçanã,3,0.48,46.91,0.5589999999999999,0.509,10.98,21.18
2020-05-18,Janduís,1,0.47,13.82,0.5670000000000001,0.529,10.36,14.19
2020-05-18,Januário Cicco,2,0.53,31.19,0.511,0.48100000000000004,8.8,32.12
2020-05-18,Jardim De Angicos,1,0.53,56.25,0.557,0.43700000000000006,10.28,24.47
2020-05-18,Jardim Do Seridó,1,0.5,4.28,0.647,0.584,11.81,5.56
2020-05-18,João Câmara,3,0.56,22.19,0.6,0.484,7.77,15.56
2020-05-18,Jucurutu,2,0.46,7.47,0.583,0.49200000000000005,10.06,14.88
2020-05-18,Lagoa D Anta,1,0.54,17.11,0.58,0.507,8.01,18.95
2020-05-18,Lagoa De Pedras,2,0.52,25.57,0.529,0.436,8.9,28.71
2020-05-18,Lagoa Nova,1,0.5,14.22,0.542,0.483,7.86,24.91
2020-05-18,Lagoa Salgada,2,0.54,17.35,0.551,0.46399999999999997,8.2,25.72
2020-05-18,Lajes,1,0.49,21.29,0.578,0.557,9.85,14.48
2020-05-18,Lajes Pintadas,5,0.45,32.8,0.5589999999999999,0.568,10.02,16.75
2020-05-18,Luís Gomes,1,0.55,16.39,0.545,0.531,9.2,26.91
2020-05-18,Macaíba,53,0.5,15.19,0.613,0.545,6.76,8.6
2020-05-18,Macau,17,0.5,6.11,0.65,0.5720000000000001,7.86,7.58
2020-05-18,Martins,2,0.49,21.06,0.58,0.5379999999999999,11.02,19.29
2020-05-18,Maxaranguape,3,0.52,7.09,0.5820000000000001,0.506,6.18,13.59
2020-05-18,Montanhas,3,0.53,12.67,0.5529999999999999,0.447,9.73,26.0
2020-05-18,Monte Alegre,11,0.52,9.08,0.578,0.507,8.03,15.17
2020-05-18,Mossoró,626,0.52,4.16,0.6940000000000001,0.6629999999999999,6.33,3.72
2020-05-18,Natal,1451,0.61,0.98,0.768,0.6940000000000001,7.02,2.92
2020-05-18,Nísia Floresta,10,0.53,8.47,0.601,0.518,6.21,14.57
2020-05-18,Nova Cruz,9,0.52,20.42,0.589,0.537,8.82,18.69
2020-05-18,Ouro Branco,1,0.43,4.2,0.61,0.5579999999999999,11.79,6.7
2020-05-18,Paraná,1,0.49,6.03,0.532,0.496,10.22,26.74
2020-05-18,Paraú,2,0.46,25.31,0.5820000000000001,0.522,10.6,13.79
2020-05-18,Parazinho,1,0.52,36.06,0.5429999999999999,0.424,8.19,23.2
2020-05-18,Parelhas,3,0.45,4.15,0.625,0.617,9.65,5.72
2020-05-18,Parnamirim,269,0.55,0.73,0.75,0.726,4.67,2.68
2020-05-18,Passa E Fica,1,0.51,15.25,0.565,0.516,9.68,19.59
2020-05-18,Pau Dos Ferros,19,0.54,1.65,0.6659999999999999,0.584,8.49,6.13
2020-05-18,Pedra Grande,2,0.48,45.08,0.526,0.43,6.59,24.72
2020-05-18,Pedro Avelino,1,0.52,25.25,0.5770000000000001,0.435,10.29,17.93
2020-05-18,Pedro Velho,2,0.51,14.72,0.562,0.442,9.08,19.74
2020-05-18,Pendências,9,0.55,3.17,0.633,0.526,8.22,10.67
2020-05-18,Pilões,2,0.47,4.27,0.5660000000000001,0.527,9.7,18.18
2020-05-18,Poço Branco,2,0.56,21.7,0.562,0.47100000000000003,7.38,24.91
2020-05-18,Portalegre,2,0.52,35.11,0.581,0.547,10.64,21.33
2020-05-18,Porto Do Mangue,2,0.55,40.29,0.5579999999999999,0.504,5.87,24.12
2020-05-18,Riacho Da Cruz,2,0.47,14.16,0.545,0.48700000000000004,9.61,19.81
2020-05-18,Riachuelo,2,0.54,12.72,0.561,0.48100000000000004,8.45,21.63
2020-05-18,Rio Do Fogo,3,0.52,4.34,0.546,0.457,6.31,23.47
2020-05-18,Rodolfo Fernandes,1,0.46,9.02,0.561,0.519,9.03,16.45
2020-05-18,Santa Cruz,21,0.52,9.9,0.597,0.564,8.27,15.6
2020-05-18,Santa Maria,2,0.45,38.57,0.5539999999999999,0.47700000000000004,8.19,15.45
2020-05-18,Santana Do Matos,3,0.55,17.29,0.5589999999999999,0.48200000000000004,10.62,27.13
2020-05-18,Santo Antônio,16,0.57,20.88,0.595,0.512,8.98,20.39
2020-05-18,São Gonçalo Do Amarante,98,0.44,5.01,0.619,0.564,5.28,6.05
2020-05-18,São José De Mipibu,35,0.55,15.34,0.599,0.508,7.23,17.32
2020-05-18,São Miguel,17,0.53,18.57,0.574,0.518,9.32,19.87
2020-05-18,São Miguel Do Gostoso,1,0.51,24.42,0.5579999999999999,0.46799999999999997,6.76,21.71
2020-05-18,São Paulo Do Potengi,3,0.48,16.61,0.584,0.555,9.52,15.32
2020-05-18,São Pedro,1,0.52,37.17,0.574,0.449,10.25,18.48
2020-05-18,São Rafael,8,0.52,10.82,0.588,0.493,11.75,17.98
2020-05-18,São Tomé,7,0.49,34.01,0.565,0.461,11.67,20.2
2020-05-18,São Vicente,1,0.52,6.27,0.606,0.556,10.45,14.02
2020-05-18,Senador Elói De Souza,1,0.5,20.16,0.523,0.504,8.73,27.17
2020-05-18,Senador Georgino Avelino,3,0.43,17.97,0.5429999999999999,0.455,6.4,11.63
2020-05-18,Serra De São Bento,1,0.53,32.29,0.551,0.48200000000000004,9.89,26.18
2020-05-18,Serra Do Mel,1,0.5,44.92,0.574,0.521,6.79,16.04
2020-05-18,Serra Negra Do Norte,3,0.42,8.31,0.578,0.46799999999999997,8.83,10.43
2020-05-18,Severiano Melo,1,0.52,17.21,0.579,0.522,9.04,21.0
2020-05-18,Taboleiro Grande,5,0.48,31.48,0.57,0.507,7.42,15.6
2020-05-18,Taipu,1,0.45,32.17,0.544,0.435,7.65,16.2
2020-05-18,Tenente Ananias,9,0.46,12.6,0.57,0.46799999999999997,9.43,16.07
2020-05-18,Tenente Laurentino Cruz,1,0.47,17.9,0.5589999999999999,0.586,6.68,17.34
2020-05-18,Tibau,10,0.55,13.02,0.627,0.53,6.67,10.19
2020-05-18,Tibau Do Sul,2,0.6,6.58,0.672,0.504,6.1,5.76
2020-05-18,Touros,13,0.52,20.05,0.562,0.466,6.84,21.48
2020-05-18,Umarizal,2,0.51,16.57,0.59,0.506,9.85,16.21
2020-05-18,Upanema,2,0.54,26.63,0.542,0.516,7.89,31.82
2020-05-17,Acari,1,0.49,2.06,0.633,0.634,9.88,5.18
2020-05-17,Açu,71,0.53,10.49,0.6409999999999999,0.568,6.99,7.68
2020-05-17,Afonso Bezerra,3,0.53,18.03,0.56,0.502,9.22,21.79
2020-05-17,Alexandria,5,0.53,10.68,0.581,0.491,11.07,21.46
2020-05-17,Almino Afonso,1,0.49,20.07,0.578,0.568,9.22,17.02
2020-05-17,Alto Do Rodrigues,14,0.47,3.79,0.647,0.585,6.32,7.74
2020-05-17,Angicos,1,0.51,10.91,0.606,0.53,9.66,11.04
2020-05-17,Antônio Martins,1,0.51,21.88,0.5539999999999999,0.45799999999999996,9.67,25.46
2020-05-17,Apodi,102,0.55,10.18,0.611,0.5710000000000001,8.1,13.98
2020-05-17,Areia Branca,73,0.48,7.72,0.647,0.621,7.94,6.17
2020-05-17,Arês,3,0.53,9.2,0.5870000000000001,0.523,7.13,16.86
2020-05-17,Baía Formosa,3,0.47,2.47,0.59,0.534,6.12,11.09
2020-05-17,Baraúna,43,0.42,20.92,0.562,0.446,5.52,12.08
2020-05-17,Barcelona,1,0.5,19.66,0.564,0.442,11.87,20.03
2020-05-17,Bento Fernandes,2,0.47,30.26,0.542,0.494,7.9,22.61
2020-05-17,Bom Jesus,3,0.54,16.68,0.583,0.46,9.3,20.26
2020-05-17,Brejinho,1,0.49,9.32,0.585,0.49200000000000005,8.46,11.95
2020-05-17,Caiçara Do Norte,2,0.53,9.86,0.5720000000000001,0.45399999999999996,7.23,22.32
2020-05-17,Caicó,14,0.56,1.75,0.703,0.619,8.82,3.69
2020-05-17,Campo Redondo,3,0.56,35.01,0.5539999999999999,0.584,11.02,28.19
2020-05-17,Canguaretama,38,0.49,17.39,0.557,0.486,6.21,18.11
2020-05-17,Caraúbas,5,0.54,23.35,0.594,0.556,9.89,20.91
2020-05-17,Carnaúba Dos Dantas,1,0.41,10.97,0.624,0.5770000000000001,8.71,4.55
2020-05-17,Carnaubais,2,0.52,28.7,0.583,0.47600000000000003,7.64,16.41
2020-05-17,Ceará Mirim,26,0.51,9.69,0.599,0.505,6.96,12.12
2020-05-17,Cerro Corá,1,0.54,31.01,0.573,0.518,9.89,25.88
2020-05-17,Coronel João Pessoa,2,0.5,8.18,0.5489999999999999,0.47100000000000003,9.24,23.05
2020-05-17,Currais Novos,13,0.58,5.49,0.6729999999999999,0.617,9.59,7.7
2020-05-17,Encanto,11,0.47,23.8,0.589,0.536,9.83,13.74
2020-05-17,Extremoz,44,0.54,7.35,0.64,0.555,6.32,9.19
2020-05-17,Felipe Guerra,18,0.48,23.18,0.5820000000000001,0.575,9.75,15.92
2020-05-17,Fernando Pedroza,1,0.55,19.44,0.565,0.519,10.2,25.87
2020-05-17,Galinhos,1,0.57,29.51,0.578,0.429,5.93,21.02
2020-05-17,Goianinha,8,0.55,4.18,0.619,0.537,6.11,14.03
2020-05-17,Governador Dix Sept Rosado,3,0.49,22.37,0.564,0.485,8.19,22.19
2020-05-17,Grossos,5,0.49,11.59,0.633,0.585,7.58,8.2
2020-05-17,Guamaré,13,0.51,32.09,0.632,0.505,5.38,8.72
2020-05-17,Ielmo Marinho,1,0.51,42.52,0.521,0.418,7.37,26.37
2020-05-17,Ipanguaçu,18,0.48,8.4,0.568,0.518,6.5,15.18
2020-05-17,Itajá,4,0.42,4.32,0.586,0.539,5.35,8.5
2020-05-17,Itaú,12,0.48,11.02,0.588,0.542,8.95,13.71
2020-05-17,Jaçanã,3,0.48,46.91,0.5589999999999999,0.509,10.98,21.18
2020-05-17,Januário Cicco,1,0.53,31.19,0.511,0.48100000000000004,8.8,32.12
2020-05-17,Jardim Do Seridó,1,0.5,4.28,0.647,0.584,11.81,5.56
2020-05-17,João Câmara,3,0.56,22.19,0.6,0.484,7.77,15.56
2020-05-17,Jucurutu,1,0.46,7.47,0.583,0.49200000000000005,10.06,14.88
2020-05-17,Lagoa De Pedras,2,0.52,25.57,0.529,0.436,8.9,28.71
2020-05-17,Lagoa Nova,1,0.5,14.22,0.542,0.483,7.86,24.91
2020-05-17,Lagoa Salgada,2,0.54,17.35,0.551,0.46399999999999997,8.2,25.72
2020-05-17,Lajes,1,0.49,21.29,0.578,0.557,9.85,14.48
2020-05-17,Lajes Pintadas,5,0.45,32.8,0.5589999999999999,0.568,10.02,16.75
2020-05-17,Luís Gomes,1,0.55,16.39,0.545,0.531,9.2,26.91
2020-05-17,Macaíba,41,0.5,15.19,0.613,0.545,6.76,8.6
2020-05-17,Macau,16,0.5,6.11,0.65,0.5720000000000001,7.86,7.58
2020-05-17,Martins,2,0.49,21.06,0.58,0.5379999999999999,11.02,19.29
2020-05-17,Maxaranguape,1,0.52,7.09,0.5820000000000001,0.506,6.18,13.59
2020-05-17,Montanhas,2,0.53,12.67,0.5529999999999999,0.447,9.73,26.0
2020-05-17,Monte Alegre,8,0.52,9.08,0.578,0.507,8.03,15.17
2020-05-17,Mossoró,538,0.52,4.16,0.6940000000000001,0.6629999999999999,6.33,3.72
2020-05-17,Natal,1360,0.61,0.98,0.768,0.6940000000000001,7.02,2.92
2020-05-17,Nísia Floresta,10,0.53,8.47,0.601,0.518,6.21,14.57
2020-05-17,Nova Cruz,6,0.52,20.42,0.589,0.537,8.82,18.69
2020-05-17,Ouro Branco,1,0.43,4.2,0.61,0.5579999999999999,11.79,6.7
2020-05-17,Paraná,1,0.49,6.03,0.532,0.496,10.22,26.74
2020-05-17,Paraú,2,0.46,25.31,0.5820000000000001,0.522,10.6,13.79
2020-05-17,Parazinho,1,0.52,36.06,0.5429999999999999,0.424,8.19,23.2
2020-05-17,Parelhas,3,0.45,4.15,0.625,0.617,9.65,5.72
2020-05-17,Parnamirim,246,0.55,0.73,0.75,0.726,4.67,2.68
2020-05-17,Passa E Fica,1,0.51,15.25,0.565,0.516,9.68,19.59
2020-05-17,Pau Dos Ferros,15,0.54,1.65,0.6659999999999999,0.584,8.49,6.13
2020-05-17,Pedra Grande,2,0.48,45.08,0.526,0.43,6.59,24.72
2020-05-17,Pedro Avelino,1,0.52,25.25,0.5770000000000001,0.435,10.29,17.93
2020-05-17,Pedro Velho,2,0.51,14.72,0.562,0.442,9.08,19.74
2020-05-17,Pendências,9,0.55,3.17,0.633,0.526,8.22,10.67
2020-05-17,Pilões,2,0.47,4.27,0.5660000000000001,0.527,9.7,18.18
2020-05-17,Poço Branco,2,0.56,21.7,0.562,0.47100000000000003,7.38,24.91
2020-05-17,Portalegre,2,0.52,35.11,0.581,0.547,10.64,21.33
2020-05-17,Porto Do Mangue,2,0.55,40.29,0.5579999999999999,0.504,5.87,24.12
2020-05-17,Riacho Da Cruz,1,0.47,14.16,0.545,0.48700000000000004,9.61,19.81
2020-05-17,Riachuelo,2,0.54,12.72,0.561,0.48100000000000004,8.45,21.63
2020-05-17,Rodolfo Fernandes,1,0.46,9.02,0.561,0.519,9.03,16.45
2020-05-17,Santa Cruz,19,0.52,9.9,0.597,0.564,8.27,15.6
2020-05-17,Santa Maria,4,0.45,38.57,0.5539999999999999,0.47700000000000004,8.19,15.45
2020-05-17,Santana Do Matos,2,0.55,17.29,0.5589999999999999,0.48200000000000004,10.62,27.13
2020-05-17,Santo Antônio,13,0.57,20.88,0.595,0.512,8.98,20.39
2020-05-17,São Gonçalo Do Amarante,92,0.44,5.01,0.619,0.564,5.28,6.05
2020-05-17,São José De Mipibu,33,0.55,15.34,0.599,0.508,7.23,17.32
2020-05-17,São Miguel,16,0.53,18.57,0.574,0.518,9.32,19.87
2020-05-17,São Miguel Do Gostoso,1,0.51,24.42,0.5579999999999999,0.46799999999999997,6.76,21.71
2020-05-17,São Paulo Do Potengi,3,0.48,16.61,0.584,0.555,9.52,15.32
2020-05-17,São Pedro,1,0.52,37.17,0.574,0.449,10.25,18.48
2020-05-17,São Rafael,7,0.52,10.82,0.588,0.493,11.75,17.98
2020-05-17,São Tomé,6,0.49,34.01,0.565,0.461,11.67,20.2
2020-05-17,São Vicente,1,0.52,6.27,0.606,0.556,10.45,14.02
2020-05-17,Senador Elói De Souza,1,0.5,20.16,0.523,0.504,8.73,27.17
2020-05-17,Senador Georgino Avelino,2,0.43,17.97,0.5429999999999999,0.455,6.4,11.63
2020-05-17,Serra De São Bento,1,0.53,32.29,0.551,0.48200000000000004,9.89,26.18
2020-05-17,Serra Do Mel,1,0.5,44.92,0.574,0.521,6.79,16.04
2020-05-17,Serra Negra Do Norte,2,0.42,8.31,0.578,0.46799999999999997,8.83,10.43
2020-05-17,Severiano Melo,1,0.52,17.21,0.579,0.522,9.04,21.0
2020-05-17,Taboleiro Grande,5,0.48,31.48,0.57,0.507,7.42,15.6
2020-05-17,Taipu,1,0.45,32.17,0.544,0.435,7.65,16.2
2020-05-17,Tenente Ananias,9,0.46,12.6,0.57,0.46799999999999997,9.43,16.07
2020-05-17,Tenente Laurentino Cruz,1,0.47,17.9,0.5589999999999999,0.586,6.68,17.34
2020-05-17,Tibau,9,0.55,13.02,0.627,0.53,6.67,10.19
2020-05-17,Tibau Do Sul,2,0.6,6.58,0.672,0.504,6.1,5.76
2020-05-17,Touros,9,0.52,20.05,0.562,0.466,6.84,21.48
2020-05-17,Umarizal,2,0.51,16.57,0.59,0.506,9.85,16.21
2020-05-17,Upanema,2,0.54,26.63,0.542,0.516,7.89,31.82
2020-05-17,Várzea,1,0.48,9.25,0.5770000000000001,0.552,11.12,12.47
2020-05-16,Acari,1,0.49,2.06,0.633,0.634,9.88,5.18
2020-05-16,Açu,71,0.53,10.49,0.6409999999999999,0.568,6.99,7.68
2020-05-16,Afonso Bezerra,3,0.53,18.03,0.56,0.502,9.22,21.79
2020-05-16,Alexandria,5,0.53,10.68,0.581,0.491,11.07,21.46
2020-05-16,Almino Afonso,1,0.49,20.07,0.578,0.568,9.22,17.02
2020-05-16,Alto Do Rodrigues,13,0.47,3.79,0.647,0.585,6.32,7.74
2020-05-16,Angicos,1,0.51,10.91,0.606,0.53,9.66,11.04
2020-05-16,Antônio Martins,1,0.51,21.88,0.5539999999999999,0.45799999999999996,9.67,25.46
2020-05-16,Apodi,94,0.55,10.18,0.611,0.5710000000000001,8.1,13.98
2020-05-16,Areia Branca,74,0.48,7.72,0.647,0.621,7.94,6.17
2020-05-16,Arês,3,0.53,9.2,0.5870000000000001,0.523,7.13,16.86
2020-05-16,Baía Formosa,3,0.47,2.47,0.59,0.534,6.12,11.09
2020-05-16,Baraúna,32,0.42,20.92,0.562,0.446,5.52,12.08
2020-05-16,Barcelona,1,0.5,19.66,0.564,0.442,11.87,20.03
2020-05-16,Bento Fernandes,2,0.47,30.26,0.542,0.494,7.9,22.61
2020-05-16,Bom Jesus,3,0.54,16.68,0.583,0.46,9.3,20.26
2020-05-16,Brejinho,1,0.49,9.32,0.585,0.49200000000000005,8.46,11.95
2020-05-16,Caiçara Do Norte,2,0.53,9.86,0.5720000000000001,0.45399999999999996,7.23,22.32
2020-05-16,Caicó,10,0.56,1.75,0.703,0.619,8.82,3.69
2020-05-16,Campo Redondo,3,0.56,35.01,0.5539999999999999,0.584,11.02,28.19
2020-05-16,Canguaretama,38,0.49,17.39,0.557,0.486,6.21,18.11
2020-05-16,Caraúbas,5,0.54,23.35,0.594,0.556,9.89,20.91
2020-05-16,Carnaúba Dos Dantas,1,0.41,10.97,0.624,0.5770000000000001,8.71,4.55
2020-05-16,Carnaubais,2,0.52,28.7,0.583,0.47600000000000003,7.64,16.41
2020-05-16,Ceará Mirim,23,0.51,9.69,0.599,0.505,6.96,12.12
2020-05-16,Cerro Corá,1,0.54,31.01,0.573,0.518,9.89,25.88
2020-05-16,Coronel João Pessoa,2,0.5,8.18,0.5489999999999999,0.47100000000000003,9.24,23.05
2020-05-16,Currais Novos,12,0.58,5.49,0.6729999999999999,0.617,9.59,7.7
2020-05-16,Encanto,11,0.47,23.8,0.589,0.536,9.83,13.74
2020-05-16,Extremoz,43,0.54,7.35,0.64,0.555,6.32,9.19
2020-05-16,Felipe Guerra,13,0.48,23.18,0.5820000000000001,0.575,9.75,15.92
